date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:24:18	5276/5276	---M--	200	added ('OK')	image/png	etag:%22db4327f8988d3e62af29202e69b2af69%22	http://d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/f33ce04b-logo-only-png-no-background_108i08l000000000000028.png	C:/My%20Web%20Sites/jiwar/d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/f33ce04b-logo-only-png-no-background_108i08l000000000000028.png	(from http://jiwar.ubpages.com/jiwar-1/)
05:24:18	331401/331401	---M--	200	added ('OK')	image/png	etag:%22f7e0780b96fac4214db6764a4ba361d7%22	http://d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/cda1ed25-radius-bg-2_10000000tp1ce0im000028.png	C:/My%20Web%20Sites/jiwar/d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/cda1ed25-radius-bg-2_10000000tp1ce0im000028.png	(from http://jiwar.ubpages.com/jiwar-1/)
05:24:18	1418/1418	---M--	200	added ('OK')	image/png	etag:%22deb95c74cc339e0cf56cdfebaa76eb31%22	http://d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/865a2e46-libasi-1_105o05o000000000000028.png	C:/My%20Web%20Sites/jiwar/d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/865a2e46-libasi-1_105o05o000000000000028.png	(from http://jiwar.ubpages.com/jiwar-1/)
05:24:19	1673/1673	---M--	200	added ('OK')	image/png	etag:%221552b33330db3a90434a90d5d1e7e8ad%22	http://d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/61a23aea-3_106f06i000000000000028.png	C:/My%20Web%20Sites/jiwar/d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/61a23aea-3_106f06i000000000000028.png	(from http://jiwar.ubpages.com/jiwar-1/)
05:24:20	1244/1244	---M--	200	added ('OK')	image/png	etag:%228ddedf7cf1fd1f7c68f019ef4fa2cc67%22	http://d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/6a19f997-libasi_104u04u000000000000028.png	C:/My%20Web%20Sites/jiwar/d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/6a19f997-libasi_104u04u000000000000028.png	(from http://jiwar.ubpages.com/jiwar-1/)
05:24:20	777/777	---M--	200	added ('OK')	image/png	etag:%225fc94ed7c57aa11e8b4a26ef85fb0500%22	http://d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/0b9c9d5e-libasi-2_105o05o000000000000028.png	C:/My%20Web%20Sites/jiwar/d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/0b9c9d5e-libasi-2_105o05o000000000000028.png	(from http://jiwar.ubpages.com/jiwar-1/)
05:24:21	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Aug%202024%2001:24:21%20GMT	http://jiwar.ubpages.com/jiwar-1/clkn/https/libasi.shop/	C:/My%20Web%20Sites/jiwar/jiwar.ubpages.com/jiwar-1/clkn/https/libasi.shop/index.html	(from http://jiwar.ubpages.com/jiwar-1/)
05:24:23	9517/9517	---M--	200	added ('OK')	image/jpeg	etag:%224193b0945fbb180def0be7f8c6d90c92%22	http://d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/e9b62779-71pbz0sa51l_106i08300000000000001o.jpg	C:/My%20Web%20Sites/jiwar/d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/e9b62779-71pbz0sa51l_106i08300000000000001o.jpg	(from http://jiwar.ubpages.com/jiwar-1/)
05:24:23	20682/20682	---M--	200	added ('OK')	image/png	etag:%22f61c302780f5df2b0ea24adf755b35e8%22	http://d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/0650127b-libasi-white-no-bc-logo_10co0co000000000000028.png	C:/My%20Web%20Sites/jiwar/d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/0650127b-libasi-white-no-bc-logo_10co0co000000000000028.png	(from http://jiwar.ubpages.com/jiwar-1/)
05:24:24	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Aug%202024%2001:24:24%20GMT	http://jiwar.ubpages.com/jiwar-1/clkn/http/twitter.com/	C:/My%20Web%20Sites/jiwar/jiwar.ubpages.com/jiwar-1/clkn/http/twitter.com/index.html	(from http://jiwar.ubpages.com/jiwar-1/)
05:24:24	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Aug%202024%2001:24:24%20GMT	http://jiwar.ubpages.com/jiwar-1/clkn/http/unbounce.com/	C:/My%20Web%20Sites/jiwar/jiwar.ubpages.com/jiwar-1/clkn/http/unbounce.com/index.html	(from http://jiwar.ubpages.com/jiwar-1/)
05:24:29	141266/141266	---M-Z	200	added ('OK')	application/javascript	etag:%2221cd000cee068cefc2e0c67d0101e6af%22	http://builder-assets.unbounce.com/published-js/main.bundle-24bf7dd.z.js	C:/My%20Web%20Sites/jiwar/builder-assets.unbounce.com/published-js/main.bundle-24bf7dd.z.js	(from http://jiwar.ubpages.com/jiwar-1/)
05:24:32	96467/96467	---M--	200	added ('OK')	image/gif	etag:%2250aa53f69f899bfe3c4be50907ff19da%22	http://d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/b3108b04-radius-arrow.gif	C:/My%20Web%20Sites/jiwar/d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/b3108b04-radius-arrow.gif	(from http://jiwar.ubpages.com/jiwar-1/)
05:24:40	529162/529162	---M--	200	added ('OK')	image/png	etag:%22fa8bea545abd62203a45bd6fcbef9306%22	http://d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/d31eee61-radius-bg-1_11fk12o1e012o00r000028.png	C:/My%20Web%20Sites/jiwar/d9hhrg4mnvzow.cloudfront.net/jiwar.ubpages.com/jiwar-1/d31eee61-radius-bg-1_11fk12o1e012o00r000028.png	(from http://jiwar.ubpages.com/jiwar-1/)
05:24:41	263/263	---MC-	403	error ('Forbidden')	application/xml	date:Mon,%2012%20Aug%202024%2001:24:41%20GMT	http://builder-assets.unbounce.com/images/transparent.gif	C:/My%20Web%20Sites/jiwar/builder-assets.unbounce.com/images/transparent.16.delayed	(from http://builder-assets.unbounce.com/published-css/main-ebbfc5e.z.css)
